,name,relation,name2
0,常州武进金铂利口腔门诊部,hospitallevel,门诊部
1,常州武进金铂利口腔门诊部,pricelevel,低
2,常州武进金铂利口腔门诊部,hospitalkind,其他
3,常州武进金铂利口腔门诊部,hospitallevelname,门诊部
4,常州武进金铂利口腔门诊部,abbreviation,常州金铂利口腔
5,常州武进金铂利口腔门诊部,hospitalscale,其他
6,常州武进金铂利口腔门诊部,doctorstyle,其他
7,常州武进金铂利口腔门诊部,country,中国
8,常州武进金铂利口腔门诊部,area,华东
9,常州武进金铂利口腔门诊部,province,江苏
10,常州武进金铂利口腔门诊部,city,常州
11,常州武进金铂利口腔门诊部,city_level,二线
12,常州武进金铂利口腔门诊部,city_type,普通城市
13,东莞星采医疗美容门诊部有限公司,hospitallevel,门诊部
14,东莞星采医疗美容门诊部有限公司,pricelevel,低
15,东莞星采医疗美容门诊部有限公司,hospitalkind,其他
16,东莞星采医疗美容门诊部有限公司,hospitallevelname,门诊部
17,东莞星采医疗美容门诊部有限公司,abbreviation,东莞星采医疗美容门诊部
18,东莞星采医疗美容门诊部有限公司,hospitalscale,其他
19,东莞星采医疗美容门诊部有限公司,doctorstyle,其他
20,东莞星采医疗美容门诊部有限公司,country,中国
21,东莞星采医疗美容门诊部有限公司,area,华南
22,东莞星采医疗美容门诊部有限公司,province,广东
23,东莞星采医疗美容门诊部有限公司,city,东莞
24,东莞星采医疗美容门诊部有限公司,city_level,新一线
25,东莞星采医疗美容门诊部有限公司,city_type,普通城市
26,济南市中华美医疗美容诊所,hospitallevel,医院
27,济南市中华美医疗美容诊所,pricelevel,中
28,济南市中华美医疗美容诊所,hospitalkind,其他
29,济南市中华美医疗美容诊所,hospitallevelname,医院
30,济南市中华美医疗美容诊所,abbreviation,济南中华整形医院
31,济南市中华美医疗美容诊所,hospitalscale,其他
32,济南市中华美医疗美容诊所,doctorstyle,其他
33,济南市中华美医疗美容诊所,country,中国
34,济南市中华美医疗美容诊所,area,华东
35,济南市中华美医疗美容诊所,province,山东
36,济南市中华美医疗美容诊所,city,济南
37,济南市中华美医疗美容诊所,city_level,二线
38,济南市中华美医疗美容诊所,city_type,省会城市
39,北京大学口腔医院,hospitallevel,医院
40,北京大学口腔医院,pricelevel,高
41,北京大学口腔医院,hospitalkind,甲级
42,北京大学口腔医院,hospitallevelname,医院
43,北京大学口腔医院,abbreviation,北京大学口腔医院
44,北京大学口腔医院,hospitalscale,其他
45,北京大学口腔医院,doctorstyle,其他
46,北京大学口腔医院,country,中国
47,北京大学口腔医院,area,华北
48,北京大学口腔医院,province,北京
49,北京大学口腔医院,city,北京
50,北京大学口腔医院,city_level,一线
51,北京大学口腔医院,city_type,直辖市
52,昆明市第一人民医院整形外科,hospitallevel,门诊部
53,昆明市第一人民医院整形外科,pricelevel,中
54,昆明市第一人民医院整形外科,hospitalkind,其他
55,昆明市第一人民医院整形外科,hospitallevelname,门诊部
56,昆明市第一人民医院整形外科,abbreviation,昆明市第一人民医院整形外科
57,昆明市第一人民医院整形外科,hospitalscale,其他
58,昆明市第一人民医院整形外科,doctorstyle,其他
59,昆明市第一人民医院整形外科,country,中国
60,昆明市第一人民医院整形外科,area,西南
61,昆明市第一人民医院整形外科,province,云南
62,昆明市第一人民医院整形外科,city,昆明
63,昆明市第一人民医院整形外科,city_level,新一线
64,昆明市第一人民医院整形外科,city_type,省会城市
65,重庆百达丽医疗美容,hospitallevel,门诊部
66,重庆百达丽医疗美容,pricelevel,低
67,重庆百达丽医疗美容,hospitalkind,其他
68,重庆百达丽医疗美容,hospitallevelname,门诊部
69,重庆百达丽医疗美容,abbreviation,重庆百达丽医疗美容
70,重庆百达丽医疗美容,hospitalscale,其他
71,重庆百达丽医疗美容,doctorstyle,其他
72,重庆百达丽医疗美容,country,中国
73,重庆百达丽医疗美容,area,西南
74,重庆百达丽医疗美容,province,重庆
75,重庆百达丽医疗美容,city,重庆
76,重庆百达丽医疗美容,city_level,新一线
77,重庆百达丽医疗美容,city_type,直辖市
78,广州粤美整形,hospitallevel,医院
79,广州粤美整形,pricelevel,中
80,广州粤美整形,hospitalkind,其他
81,广州粤美整形,hospitallevelname,医院
82,广州粤美整形,abbreviation,广州粤美整形医院
83,广州粤美整形,hospitalscale,其他
84,广州粤美整形,doctorstyle,其他
85,广州粤美整形,country,中国
86,广州粤美整形,area,华南
87,广州粤美整形,province,广东
88,广州粤美整形,city,广州
89,广州粤美整形,city_level,一线
90,广州粤美整形,city_type,省会城市
91,包头医学院第一附属医院烧伤整形科,hospitallevel,门诊部
92,包头医学院第一附属医院烧伤整形科,pricelevel,中
93,包头医学院第一附属医院烧伤整形科,hospitalkind,其他
94,包头医学院第一附属医院烧伤整形科,hospitallevelname,门诊部
95,包头医学院第一附属医院烧伤整形科,abbreviation,包头医学院第一附属医院烧伤整形科
96,包头医学院第一附属医院烧伤整形科,hospitalscale,其他
97,包头医学院第一附属医院烧伤整形科,doctorstyle,其他
98,包头医学院第一附属医院烧伤整形科,country,中国
99,包头医学院第一附属医院烧伤整形科,area,东北
100,包头医学院第一附属医院烧伤整形科,province,内蒙古
101,包头医学院第一附属医院烧伤整形科,city,包头
102,包头医学院第一附属医院烧伤整形科,city_level,三线
103,包头医学院第一附属医院烧伤整形科,city_type,普通城市
104,北京伊美尔爱康医疗美容医院,hospitallevel,医院
105,北京伊美尔爱康医疗美容医院,pricelevel,高
106,北京伊美尔爱康医疗美容医院,hospitalkind,其他
107,北京伊美尔爱康医疗美容医院,hospitallevelname,医院
108,北京伊美尔爱康医疗美容医院,abbreviation,北京伊美尔爱康整形医院
109,北京伊美尔爱康医疗美容医院,hospitalscale,其他
110,北京伊美尔爱康医疗美容医院,doctorstyle,其他
111,北京伊美尔爱康医疗美容医院,country,中国
112,北京伊美尔爱康医疗美容医院,area,华北
113,北京伊美尔爱康医疗美容医院,province,北京
114,北京伊美尔爱康医疗美容医院,city,北京
115,北京伊美尔爱康医疗美容医院,city_level,一线
116,北京伊美尔爱康医疗美容医院,city_type,直辖市
117,南京市妇幼保健院医疗美容科,hospitallevel,医院
118,南京市妇幼保健院医疗美容科,pricelevel,中
119,南京市妇幼保健院医疗美容科,hospitalkind,其他
120,南京市妇幼保健院医疗美容科,hospitallevelname,医院
121,南京市妇幼保健院医疗美容科,abbreviation,南京市妇幼保健院医疗美容科
122,南京市妇幼保健院医疗美容科,hospitalscale,其他
123,南京市妇幼保健院医疗美容科,doctorstyle,其他
124,南京市妇幼保健院医疗美容科,country,中国
125,南京市妇幼保健院医疗美容科,area,华东
126,南京市妇幼保健院医疗美容科,province,江苏
127,南京市妇幼保健院医疗美容科,city,南京
128,南京市妇幼保健院医疗美容科,city_level,新一线
129,南京市妇幼保健院医疗美容科,city_type,省会城市
130,淮安涟水县人民医院烧伤整形科,hospitallevel,门诊部
131,淮安涟水县人民医院烧伤整形科,pricelevel,中
132,淮安涟水县人民医院烧伤整形科,hospitalkind,其他
133,淮安涟水县人民医院烧伤整形科,hospitallevelname,门诊部
134,淮安涟水县人民医院烧伤整形科,abbreviation,涟水县人民医院烧伤整形科
135,淮安涟水县人民医院烧伤整形科,hospitalscale,其他
136,淮安涟水县人民医院烧伤整形科,doctorstyle,其他
137,淮安涟水县人民医院烧伤整形科,country,中国
138,淮安涟水县人民医院烧伤整形科,area,华东
139,淮安涟水县人民医院烧伤整形科,province,江苏
140,淮安涟水县人民医院烧伤整形科,city,淮安
141,淮安涟水县人民医院烧伤整形科,city_level,三线
142,淮安涟水县人民医院烧伤整形科,city_type,普通城市
143,济南机关医院,hospitallevel,门诊部
144,济南机关医院,pricelevel,低
145,济南机关医院,hospitalkind,其他
146,济南机关医院,hospitallevelname,门诊部
147,济南机关医院,abbreviation,济南机关医院
148,济南机关医院,hospitalscale,其他
149,济南机关医院,doctorstyle,其他
150,济南机关医院,country,中国
151,济南机关医院,area,华东
152,济南机关医院,province,山东
153,济南机关医院,city,济南
154,济南机关医院,city_level,二线
155,济南机关医院,city_type,省会城市
156,郑州大学第一附属医院整形外科,hospitallevel,医院
157,郑州大学第一附属医院整形外科,pricelevel,中
158,郑州大学第一附属医院整形外科,hospitalkind,其他
159,郑州大学第一附属医院整形外科,hospitallevelname,医院
160,郑州大学第一附属医院整形外科,abbreviation,郑大一附院整形外科
161,郑州大学第一附属医院整形外科,hospitalscale,其他
162,郑州大学第一附属医院整形外科,doctorstyle,其他
163,郑州大学第一附属医院整形外科,country,中国
164,郑州大学第一附属医院整形外科,area,华中
