,name,relation,name2
0,"坏牙,牙齿疼痛,牙周炎",aestheticstandard,nan
1,"坏牙,牙齿疼痛,牙周炎",applypeople,nan
2,"坏牙,牙齿疼痛,牙周炎",lengthofstay,nan
3,"坏牙,牙齿疼痛,牙周炎",methods,nan
4,"坏牙,牙齿疼痛,牙周炎",name,根管治疗
5,"坏牙,牙齿疼痛,牙周炎",Narcosis,无
6,"坏牙,牙齿疼痛,牙周炎",Notice,"
	1.按时服用止痛消炎药。


	2.一周内禁食硬食，尽量使用对侧牙进食。


	3.牙齿根管治疗充填完毕，一周内可能会出现胀、闷或轻微疼痛，属正常状况。


	4.通常三天以后不适状况会逐渐消退，恢复正常感觉。


	5.若三天后不适应逐渐加重，请及时和诊所联系，安排回诊。
"
7,"坏牙,牙齿疼痛,牙周炎",operationadvantage,1、无功能或无修复价值的牙；2、无足够牙周支持的牙。
8,"坏牙,牙齿疼痛,牙周炎",operationcourse,nan
9,"坏牙,牙齿疼痛,牙周炎",operationdefect,治疗完成后可保留受损牙齿。
10,"坏牙,牙齿疼痛,牙周炎",operationrisk,nan
11,"坏牙,牙齿疼痛,牙周炎",operationstandard,"牙周健康,牙齿修复,牙齿治疗"
12,"坏牙,牙齿疼痛,牙周炎",Population,存在牙龈外露、牙周炎、坏牙、根尖周炎、牙齿疼痛者。
13,"坏牙,牙齿疼痛,牙周炎",preparation,1、进行常规口腔检查，确认牙齿的可治愈性；2、治疗前应对牙齿进行清洁，保证口腔洁净。
14,"坏牙,牙齿疼痛,牙周炎",price,200-1000元
15,"坏牙,牙齿疼痛,牙周炎",recoveries,3-5天
16,"坏牙,牙齿疼痛,牙周炎",recoverytips,nan
17,"坏牙,牙齿疼痛,牙周炎",shortdescription,根管治疗的原理是通过机械和化学方法，去除牙根内的大部分感染物，并通过充填根管、封闭冠部，以此防止发生根尖周病变，或促进已经发生的根尖周病变的愈合。
18,"坏牙,牙齿疼痛,牙周炎",stitches,nan
19,"坏牙,牙齿疼痛,牙周炎",surgicalcomplications,nan
20,"坏牙,牙齿疼痛,牙周炎",surgicalmaterials,nan
21,"坏牙,牙齿疼痛,牙周炎",surgicalsite,nan
22,"坏牙,牙齿疼痛,牙周炎",swellingtime,nan
23,"坏牙,牙齿疼痛,牙周炎",taboocrowd,1、无功能或无修复价值的牙；2、无足够牙周支持的牙。
24,"坏牙,牙齿疼痛,牙周炎",technicalmean,非手术
25,"坏牙,牙齿疼痛,牙周炎",therapeutics,根管治疗是一种较为复杂的牙髓治疗方法，使用的器械多，步骤多，需要经过多个治疗步骤和拍摄多张X光片才能完成整个过程。现在主要是通过机械和化学方法去除根管内的大部分感染物，并通过充填根管、封闭冠部，防止发生根尖周病变或促进已经发生的根尖周病变的愈合。
26,"坏牙,牙齿疼痛,牙周炎",treatmentway,nan
27,"坏牙,牙齿疼痛,牙周炎",painperception,轻度疼痛
28,"坏牙,牙齿疼痛,牙周炎",typeandcrowd,nan
29,"坏牙,牙齿疼痛,牙周炎",Keywords,牙根管疗法
30,"坏牙,牙齿疼痛,牙周炎",Features,根管治疗可治疗牙髓炎、牙周炎等口腔疾病，是目前较理想的修复治疗术。
31,"坏牙,牙齿疼痛,牙周炎",DegreeLevel,3
32,"坏牙,牙齿疼痛,牙周炎",SafeLevel,5
33,"坏牙,牙齿疼痛,牙周炎",ComplexLevel,2
34,"坏牙,牙齿疼痛,牙周炎",TreatmentCycle,4-5次
35,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",aestheticstandard,nan
36,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",applypeople,nan
37,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",lengthofstay,nan
38,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",methods,nan
39,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",name,鼻小柱延长术
40,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",Narcosis,局麻/全麻
41,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",Notice,"<strong>注意事项有：</strong>
&nbsp;1、手术前2周要避免服用含有抗血小板凝集的药物，因为此类药物会使得我们体内血小板凝固的功能降低。
&nbsp;2、在手术前一定确定自身的身体健康，无传染性疾病和其他身体炎症。
&nbsp;3、患有高血压或高血糖的患者，应该在初诊时向医生告知病情，以便应诊医生设计手术的方案。
&nbsp;<span style=""font-size:14px;line-height:1.5;"">4、手术前绝对不允许化妆，因为化妆品中所含化学物质会与药物发生反映影响治疗效果。

	&nbsp;5、女性朋友在做鼻小柱延长术时应避开生理期。

"
42,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",operationadvantage,1、重塑鼻尖软骨的立体框架，抬高鼻尖；2、手术可同属矫正矮鼻、低鼻、朝天鼻等情况，改善效果明显；3、填充材料主要为自身软骨组织，无需担心术后出现假体排异、过敏、移位等问题。
43,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",operationcourse,nan
44,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",operationdefect,1、手术操作复杂，对医生技术要求高；2、手术主要使用鼻中隔软骨，若个人鼻中隔量较少，需改用肋软骨，创伤较大。
45,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",operationrisk,nan
46,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",operationstandard,"鼻型美化,鼻尖抬高,朝天鼻改善,鼻小柱延长"
47,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",Population,"1、存在鼻小柱短、鼻尖低平、朝天鼻等鼻型者；
2、特殊的短鼻畸形，面中部发育不良甚至凹陷、鼻背严重塌陷、鼻锥体短小。"
48,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",preparation,1、手术前面部不能有任何的(带细菌)病灶：如毛囊炎、疖肿、痤疮、急性眼炎、鼻窦炎、鼻炎、鼻前庭疖等；2、长期服用类固醇激素和阿司匹林等药物者，需在术前一周停用；3、高血压、糖尿病的患者，应在初诊时告知医生，以便确认手术方案；4、女性需避开生理期、妊娠期，以及哺乳期；5、如果对麻醉药品有过敏情况，术前需和医生沟通；6、术前一周禁止吸烟，因为尼古丁不利于术后伤口的恢复；7、术前进行身体清洁，术前一天进行沐浴，修剪鼻腔内部鼻毛；8、如采用全麻或者复合麻醉，术前6个小时禁食禁水。
49,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",price,10000-30000元
50,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",recoveries,3-6小时
51,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",recoverytips,nan
52,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",shortdescription,鼻小柱延长主要用于修正短鼻和低鼻，通过手术把鼻头向前和向下方延伸，从而达到鼻尖抬高和鼻尖延长的目的。为了使鼻尖向下延伸，向前方抬高，鼻小柱延长主要是用鼻腔内的鼻中隔软骨作为材料。
53,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",stitches,nan
54,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",surgicalcomplications,nan
55,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",surgicalmaterials,nan
56,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",surgicalsite,nan
57,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",swellingtime,nan
58,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",taboocrowd,1、心、肝、肾脏等重要脏器病变，或者有高血压、糖尿病等慢性病患者；2、严重瘢痕体质，或凝血机制异常者；3、面部、鼻部皮肤存在炎症者；4、生理期、妊娠期或哺乳期女性。
59,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",technicalmean,切割
60,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",therapeutics,"硅橡胶是目前鼻小柱整形手术中应用最多、效果较好的一种材料，植入体内后，局部会产生轻度性的炎性反应，后期会逐渐消退。而鼻中隔软骨是两个鼻道中起分割作用的板状软骨，将其前方与上方各保留一部分，后下方整体取下，这样既可以维持鼻形态的完整，又能得到所需材料，效果非常好，不会产生排斥现象。

	
"
61,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",treatmentway,nan
62,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",painperception,轻度疼痛
63,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",typeandcrowd,nan
64,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",Keywords,手术延长鼻小柱
65,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",Features,可同时矫正矮鼻、低鼻、朝天鼻等情况，效果较好
66,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",DegreeLevel,4
67,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",SafeLevel,4
68,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",ComplexLevel,4
69,"鼻小柱短小,朝天鼻短,塌鼻,鼻尖下垂",TreatmentCycle,1次
70,腋毛浓密,aestheticstandard,激光脱腋毛可以使人体内多余的毛发彻底清除，使肌肤变得更娇嫩，在夏天再也不必为一身汗毛而着急，爱美的朋友可以穿上自己喜欢的裙子。让美好的肌肤展现在人们的面前。
71,腋毛浓密,applypeople,自身内分泌系统紊乱所导致的多毛症者； 因遗传或者种族原因导致的多毛症者； 腋毛浓密造成困扰者。
72,腋毛浓密,lengthofstay,无需住院
73,腋毛浓密,methods,"1、冰敷：治疗后，可以使用冰袋冰敷10-15分钟。
2、防护：当天避免治疗部位沾水、揉搓及蒸桑拿等。
3、饮食：禁食辛辣刺激性食物。
4、防晒：多注意防晒，避免晒伤导致色素沉着。
5、护肤：使用修复产品，禁止使用美白产品。建议每次治疗后一周内，在治疗部位一天两次涂抹芦荟凝胶。干痒禁止搔抓。
6、清洁：注意脱毛部位的清洁卫生。
7、新生的毛发不要自行处理，遵医嘱按疗程治疗。"
74,腋毛浓密,name,脱腋毛
75,腋毛浓密,Narcosis,无/表面麻醉
76,腋毛浓密,Notice,"1、脱毛后一周内不能使用止汗剂、酒精产品等；.
2、不要在脱毛区喷热水，或用热水刺激，清洁温水；.
3、避免游泳、桑拿或温泉；.
4、不要收紧衣服，不要运动太多，避免在腋下多出汗。."
77,腋毛浓密,operationadvantage,1、靶向脱毛，只破坏毛囊部分，周围皮肤不受影响；2、可使毛发失去再生能力，效果长期有效。
78,腋毛浓密,operationcourse,3-6次为一疗程，每次间隔1个月
79,腋毛浓密,operationdefect,1、需多次治疗，才能实现持久维持；2、瘢痕体质不适用，有留疤风险。
80,腋毛浓密,operationrisk,"1、影响正常的排汗。
2、可能有色素变化问题。"
81,腋毛浓密,operationstandard,"持久脱毛,脱腋毛"
82,腋毛浓密,Population,"1、腋毛浓密造成困扰者；
2、腋毛杂乱者。"
83,腋毛浓密,preparation,1、治疗前不能暴晒皮肤，因为暴晒后进行脱毛可能会灼伤皮肤，导致皮肤发红、起泡；2、治疗前注保证脱毛部位的皮肤清洁，先去掉部分腋毛，并确认皮肤上无创口、炎症等。
84,腋毛浓密,price,50-300元
85,腋毛浓密,recoveries,无
86,腋毛浓密,recoverytips,"1、0-1天，皮肤微红，毛囊肿胀，治疗部位有烧灼感。
2、2-7天，无明显症状，表皮残留点状毛干，部分人会有轻微瘙痒症状。
3、8-15天，毛囊萎缩，毛发数量减少。
4、16-30天，新生出的毛发减少，毛干变细。"
87,腋毛浓密,shortdescription,脱腋毛是依据激光的选择性光热动力学原理，通过合理调节激光波长、能量、脉宽，使激光穿过皮肤表层到达毛发的根部毛囊，毛囊中丰富的黑色素吸收光能后转化为热能，温度急剧升高，导致毛囊组织破坏，使得毛发失去再生能力，从而达到脱毛效果。
88,腋毛浓密,stitches,无需拆线
89,腋毛浓密,surgicalcomplications,"1、对于皮肤敏感的人来说，可能会造成皮肤不适的症状。 
2、脱过毛的皮肤更容易干燥，有时候身上会出现脱水蜕皮的现象。 "
90,腋毛浓密,surgicalmaterials,脱腋毛器等。
91,腋毛浓密,surgicalsite,腋下
92,腋毛浓密,swellingtime,无
