,hospitalname,id
0,常州武进金铂利口腔门诊部,0
1,东莞星采医疗美容门诊部有限公司,1
2,济南市中华美医疗美容诊所,2
3,北京大学口腔医院,3
4,昆明市第一人民医院整形外科,4
5,重庆百达丽医疗美容,5
6,广州粤美整形,6
7,包头医学院第一附属医院烧伤整形科,7
8,北京伊美尔爱康医疗美容医院,8
9,南京市妇幼保健院医疗美容科,9
10,淮安涟水县人民医院烧伤整形科,10
11,济南机关医院,11
12,郑州大学第一附属医院整形外科,12
13,西安雁塔天坛医院医学美容科,13
14,杭州临湖门诊部有限公司,14
15,乐山达芬奇医疗美容门诊部有限公司,15
16,沙坪坝柳叶刀医疗美容门诊部,16
17,上海康态口腔门诊部有限公司,17
18,太原万美整形美容医院,18
19,西安睛彩美容服务有限公司雁塔医疗美容诊所,19
20,嘉悦丽格眼科门诊部,20
21,郑州花绽美容服务有限公司,21
22,郑州天美整形美容,22
23,南京美好尉来医疗美容有限公司,23
24,深圳雅唯医疗美容门诊部有限公司,24
25,南京市儿童医院烧伤整形外科,25
26,赤峰学院附属医院美容科,26
27,兰州五星嘉琳医学美容医院,27
28,杭州美立方医疗美容门诊部有限公司,28
29,上海艺星医疗美容医院有限公司,29
30,杭州美立妍医疗美容有限公司,30
31,唯美星医疗整形美容,31
32,重庆骑士整形美容医院植发科,32
33,上海镜面门诊部有限公司,33
34,哈尔滨市道外区人民医院,34
35,大连天俪医疗美容医院有限公司,35
36,西安碑林西美整形外科门诊部,36
37,南京侨台美容第三诊所,37
38,保定宝特医疗美容诊所,38
39,深圳港美医疗美容门诊,39
40,鸡西市人民医院美容科,40
41,上海颜范医疗美容门诊部,41
42,大庆市第四医院美容科,42
43,洛阳中州人民医院整形美容中心,43
44,爱慕芳容医学美容门诊,44
45,成都高新纽莱茵医疗美容门诊部有限公司,45
46,北京晶美医疗美容诊所有限公司,46
47,宜昌市西陵区奥莱美容诊所,47
48,绍兴市妇幼保健院医疗美容门诊,48
49,北京叶子整形美容医院（普通合伙）,49
50,成都武侯美未央医疗美容门诊部有限公司,50
51,北京百达丽医疗美容门诊部有限公司,51
52,邯郸雅丽医疗美容门诊部,52
53,长沙你美医疗美容门诊部,53
54,北京京城皮肤医院有限公司,54
55,天门市第一人民医院整形美容科,55
56,成都玉之光医疗美容门诊部（已与新店合并，此户不用）,56
57,河南艾伯丽医院管理有限公司,57
58,成都武侯素美医疗美容门诊部有限公司,58
59,贵阳丽都医疗美容医院,59
60,武汉顶吉医疗美容门诊部,60
61,上海奉浦医院有限公司,61
62,无锡吴震中医美容诊所,62
63,邵阳市中心医院医学整形美容中心,63
64,广州解放军421整形（疤痕修复科）,64
65,上虞市人民医院整形科,65
66,民航广州医院,66
67,扬州赛美瑞整形外科门诊部,67
68,濮阳张存亮激光整形美容中心,68
69,大庆天姿医疗美容院,69
70,成都武侯区忠爱医疗美容诊所有限公司,70
71,中南大学湘雅三医院烧伤整形外科,71
72,深圳源美医疗美容门诊部,72
73,济南施尔明眼科医院,73
74,北京知音医疗美容门诊部有限公司,74
75,合肥丛生医疗美容门诊部,75
76,沧州华美妇产医院,76
77,菏泽市立医院整形美容科,77
78,南京建国医院有限公司,78
79,上海俏佳人医疗美容门诊部有限公司,79
80,武汉乐美医疗美容门诊部,80
81,株洲市中心医院,81
82,深圳南雅医疗美容门诊部,82
83,徐州强,83
84,北京金燕子医疗美容诊所,84
85,西宁时光整形美容医院有限公司,85
86,广州丽尚整形美容,86
87,南通市老年康复医院美容科,87
88,四川朗睿整形美容医院有限公司,88
89,银川田永成医学美容有限责任公司,89
90,保定珍润医疗美容门诊部,90
91,淮安恩尚美容服务有限公司,91
92,南宁华美医疗美容医院有限公司,92
93,张家港市第一人民医院烧伤整形科,93
94,深圳太美医疗美容门诊部,94
95,重庆木槿医疗美容门诊部有限公司,95
96,南昌佳美美容医院有限公司,96
97,唐山艾玲医疗美容诊所,97
98,临沂中医医院,98
99,淄博阳光美容医院有限公司,99
100,韩国WIZ&美整容外科医院,100
101,黄石爱康医院烧伤整形科,101
102,白求恩国际和平医院,102
103,西安航天总医院整形外科,103
104,焦作妇幼保健院整形科,104
105,上海复旦大学附属华山医院整形外科,105
106,兰州皙妍丽整形美容门诊部,106
107,阜阳市康复医院皮肤美容整形,107
108,成都武侯百媚生富华医疗美容门诊部,108
109,成都华人医联牙科,109
110,绥化市第一医院烧伤整形外科,110
111,金华金东丽都整形外科门诊部(普通合伙),111
112,白城博爱医院医疗美容科,112
113,晋城凤凰整形美容医院,113
114,第四军医大学唐都医院整形激光美容中心,114
115,河北医科大学中医院美容科,115
116,山西省人民医院整形科,116
117,韩国B&Young皮肤科整形外科,117
118,济南中医药大学中鲁医院,118
119,北京美易美连石医疗美容诊所,119
120,温州市和平整形医院,120
121,武汉华美整形外科医院有限公司,121
122,扬州市中医院医学美容中心,122
123,河南科大二附院整形外科,123
124,昆明美立方医疗美容医院,124
125,武汉中爱铭医医疗美容有限公司,125
126,广东佛山南方泰成逸园综合医院有限公司,126
127,广州新发现医疗美容门诊部,127
128,西安美立方整形美容医院,128
129,福州市台江区米兰医疗美容门诊部有限公司,129
130,上海瑞格医疗美容门诊部有限公司,130
131,南京康丽医疗美容诊所,131
132,扬州市邗江施尔美医疗美容医院有限公司,132
133,乌鲁木齐穆生海整形美容门诊部,133
134,杭州皇瑞赫瑞拉医疗美容诊所有限公司,134
135,广州海珠今生医疗美容门诊部,135
136,北京欧扬医疗美容门诊部,136
137,武汉美谛整形,137
138,海南华美医学美容医院有限公司,138
139,三门峡黄河医院整形美容外科,139
140,西安医疗美容外科（马平整形）,140
141,深圳丽港丽格医疗美容门诊部,141
142,兰州梦想整形美容医院（普通合伙）,142
143,兰州崔大夫25,143
144,石家庄九朵医疗美容诊所有限公司,144
145,武汉韩辰医疗美容医院,145
146,金华芘丽芙美容医院,146
